rank_within_target,selected,method,target_type,gamma,eta,burnin_fraction,fr_every,median_integrated_l2_F,median_final_l2_F,median_final_l2_Fprime,median_mean_fr_event_fraction,passed_safety,n_seeds
24,False,abf_fr_uniform,uniform,0.1,0.15,0.2,5,15.784817507986372,0.0141263314479112,0.0822019991185187,1.00631287637043e-05,True,5
25,False,abf_fr_uniform,uniform,0.1,0.15,0.0,5,15.78670148273772,0.0137633368539476,0.0811159473277683,1.3250503375275002e-05,True,5
26,False,abf_fr_uniform,uniform,0.01,0.15,0.2,5,15.787572690401497,0.0137575801931174,0.0788059984547849,1.0000000656873453e-06,True,5
27,False,abf_fr_uniform,uniform,0.02,0.1,0.4,5,15.804776119965608,0.0123918638857682,0.0739716473903388,2.1670855706664344e-06,True,5
28,False,abf_fr_uniform,uniform,0.1,0.075,0.0,5,15.835023654615126,0.0133382797353947,0.0822176311959124,1.6350754817722192e-05,True,5
29,False,abf_fr_uniform,uniform,0.01,0.075,0.0,5,15.898337845907935,0.015851854138294,0.0810881547419626,1.6000001050997523e-06,True,5
30,False,abf_fr_uniform,uniform,0.01,0.075,0.4,5,15.905025071244651,0.0126282059782907,0.0716255176140616,1.500000098531018e-06,True,5
31,False,abf_fr_uniform,uniform,0.02,0.1,0.2,5,16.06000997449944,0.014325628488896,0.0816094938503464,2.312500146217644e-06,True,5
32,False,abf_fr_uniform,uniform,0.1,0.075,0.4,5,16.493482196567992,0.0133390556784953,0.0761512020209737,1.1417504909635077e-05,True,5
33,False,abf_fr_uniform,uniform,0.02,0.075,0.4,5,16.87425089647993,0.0159364033763199,0.0773645033144827,2.500000164218364e-06,True,5
34,False,abf_fr_uniform,uniform,0.05,0.1,0.4,5,17.001969839396452,0.0134642625395845,0.0782839644943161,5.417085746254694e-06,True,5
35,False,abf_fr_uniform,uniform,0.02,0.15,0.0,5,17.037471304813437,0.0151184079776833,0.0828628995419089,2.950000189230195e-06,True,5
36,False,abf_fr_uniform,uniform,0.02,0.075,0.2,5,17.284815273084014,0.0149872960602496,0.0787056282416613,2.875000177482434e-06,True,5
1,True,abf_fr_oracle,oracle,0.1,0.075,0.0,5,13.267515252650862,0.0113176817292962,0.0602371305578991,1.6651006130814495e-05,True,5
2,False,abf_fr_oracle,oracle,0.05,0.15,0.2,5,14.22604993203304,0.0143259230575079,0.0670912661271228,4.625314340955811e-06,True,5
3,False,abf_fr_oracle,oracle,0.05,0.1,0.0,5,14.28305071672855,0.013641971470452,0.0678013131512328,8.150251828737964e-06,True,5
4,False,abf_fr_oracle,oracle,0.05,0.1,0.4,5,14.32575322817652,0.0125246987012693,0.0646106576832122,3.917085670461044e-06,True,5
5,False,abf_fr_oracle,oracle,0.05,0.075,0.2,5,14.34010708849431,0.0119808678401275,0.0660630286899391,5.750314409169733e-06,True,5
6,False,abf_fr_oracle,oracle,0.1,0.1,0.0,5,14.375002873286713,0.0115351943828485,0.0638663275978267,1.4900252267580072e-05,True,5
7,False,abf_fr_oracle,oracle,0.05,0.075,0.0,5,14.485156084078604,0.0129234168981972,0.0664468841156969,8.350000471182283e-06,True,5
8,False,abf_fr_oracle,oracle,0.02,0.1,0.0,5,14.70713328550211,0.0130257971376839,0.0701081397986011,3.350251463416498e-06,True,5
9,False,abf_fr_oracle,oracle,0.02,0.075,0.2,5,14.7631146767667,0.0125661652468716,0.0731311559141505,2.4375001544285626e-06,True,5
10,False,abf_fr_oracle,oracle,0.05,0.075,0.4,5,14.91066819506882,0.0126298876337446,0.0691382897905919,5.833752425132843e-06,True,5
11,False,abf_fr_oracle,oracle,0.1,0.1,0.2,5,15.057309681708622,0.0135793953755804,0.0701968062123552,1.1126256930538148e-05,True,5
12,False,abf_fr_oracle,oracle,0.02,0.15,0.0,5,15.067972166499713,0.0139365264815935,0.0666089403984734,2.350000149817788e-06,True,5
13,False,abf_fr_oracle,oracle,0.1,0.15,0.2,5,15.123933549588868,0.0118659668914874,0.0680671865393239,9.562814625496683e-06,True,5
14,False,abf_fr_oracle,oracle,0.05,0.15,0.0,5,15.173744900490396,0.0129686834620667,0.0713896462779676,6.750251654921157e-06,True,5
15,False,abf_fr_oracle,oracle,0.01,0.075,0.2,5,15.181394680509827,0.0137455754324046,0.0676269134261545,1.2500000821091817e-06,True,5
16,False,abf_fr_oracle,oracle,0.1,0.15,0.0,5,15.336014127491676,0.0117893501229171,0.0679946892576549,1.3400252141764213e-05,True,5
17,False,abf_fr_oracle,oracle,0.01,0.075,0.0,5,15.337057000034306,0.0137302857657666,0.0740172651764484,1.8500001124266417e-06,True,5
18,False,abf_fr_oracle,oracle,0.01,0.1,0.2,5,15.34262599516976,0.0125647274540896,0.0727396801629292,1.1250000682139216e-06,True,5
19,False,abf_fr_oracle,oracle,0.02,0.075,0.0,5,15.3689954147899,0.0122249455669792,0.0679348451631996,3.4500002175263944e-06,True,5
20,False,abf_fr_oracle,oracle,0.05,0.1,0.2,5,15.386171657764262,0.0130341644363304,0.0740333434388406,4.81250028769864e-06,True,5
21,False,abf_fr_oracle,oracle,0.1,0.075,0.4,5,15.51179779047014,0.0124892269457245,0.0695545660819408,1.0917086084797726e-05,True,5
22,False,abf_fr_oracle,oracle,0.1,0.1,0.4,5,15.591968571820471,0.0125915264855636,0.0681766483569295,1.0250419412235107e-05,True,5
23,False,abf_fr_oracle,oracle,0.02,0.15,0.2,5,15.646795611502,0.013334572461259,0.0671471478668439,2.1253142108434986e-06,True,5
24,False,abf_fr_oracle,oracle,0.01,0.15,0.0,5,15.650087797005629,0.0132393517008933,0.0669548174987036,1.50025135553733e-06,True,5
25,False,abf_fr_oracle,oracle,0.05,0.15,0.4,5,15.68784243639988,0.013576770281818,0.072480532013306,3.16708563635378e-06,True,5
26,False,abf_fr_oracle,oracle,0.01,0.15,0.4,5,15.717260871293876,0.0128921208754343,0.0679715854014133,6.670854721354165e-07,True,5
27,False,abf_fr_oracle,oracle,0.1,0.15,0.4,5,15.79373873725368,0.0121086007410564,0.0724912336908294,8.16708591173665e-06,True,5
28,False,abf_fr_oracle,oracle,0.1,0.075,0.2,5,15.830240958664264,0.0135616466303989,0.0738532673703769,1.2562814845296089e-05,True,5
29,False,abf_fr_oracle,oracle,0.02,0.1,0.4,5,15.87578303284632,0.0147065419557699,0.0766546537608653,1.83375221543732e-06,True,5
30,False,abf_fr_oracle,oracle,0.02,0.15,0.4,5,15.900732837803629,0.014457395975666,0.0723777878718062,1.250418843786368e-06,True,5
31,False,abf_fr_oracle,oracle,0.02,0.1,0.2,5,16.006559571114586,0.0131530747611755,0.0787718463880154,2.6253142380028294e-06,True,5
32,False,abf_fr_oracle,oracle,0.01,0.15,0.2,5,16.11924975772413,0.0145503828916933,0.068340345378143,1.1875000780037226e-06,True,5
33,False,abf_fr_oracle,oracle,0.01,0.1,0.4,5,16.298121138107664,0.0129399886157139,0.0696379536124258,7.50000049265509e-07,True,5
34,False,abf_fr_oracle,oracle,0.01,0.075,0.4,5,16.524523974745108,0.0130452109200252,0.0736435555170813,9.170854885572528e-07,True,5
35,False,abf_fr_oracle,oracle,0.02,0.075,0.4,5,16.65520304264887,0.0135679295288776,0.0726341907225442,2.416666817831962e-06,True,5
36,False,abf_fr_oracle,oracle,0.01,0.1,0.0,5,17.148057341628512,0.0120160719464822,0.0716220896159128,1.4002513489685952e-06,True,5
