config_id,method,target_type,gamma,eta,burnin_fraction,fr_every,n_seeds,median_final_l2_F,iqr_final_l2_F,median_final_l2_Fprime,iqr_final_l2_Fprime,median_integrated_l2_F,iqr_integrated_l2_F,median_integrated_l2_Fprime,iqr_integrated_l2_Fprime,median_final_marginal_l2_uniform,iqr_final_marginal_l2_uniform,median_final_marginal_l2_target,iqr_final_marginal_l2_target,median_mean_fr_event_fraction,iqr_mean_fr_event_fraction,median_max_fr_event_fraction,iqr_max_fr_event_fraction,median_barrier_crossings,iqr_barrier_crossings,median_frac_left,iqr_frac_left,median_frac_barrier,iqr_frac_barrier,median_frac_right,iqr_frac_right,frac_nan
abf_fr_estimated|tt=estimated|g=0.1|eta=0.15|bi=0|fe=5,abf_fr_estimated,estimated,0.1,0.15,0.0,5,5,0.0128311583909947,0.0030795586527975014,0.0774605208874518,0.0170219968045464,15.883102680994185,2.2333702111661218,40.04590073460148,5.593355371662405,0.0227499489636014,0.0033783332858549966,0.022749124776576,0.003376283828985402,1.2550754522635543e-05,2.5025128707056967e-07,0.0020000000949949,0.0010000000474975,485844.0,20119.0,0.334,0.006000000000000005,0.165,0.01100000000000001,0.337,0.008000000000000007,0.0
abf_fr_estimated|tt=estimated|g=0.1|eta=0.1|bi=0.2|fe=5,abf_fr_estimated,estimated,0.1,0.1,0.2,5,5,0.0186232180995276,0.0038282086368770993,0.1001475712389818,0.01242474522489341,16.024733040193684,2.041047911425176,47.70555015022016,7.497582775336298,0.0255821180426508,0.004569924575547401,0.0255831364844429,0.004571921372843599,1.0875314671920933e-05,5.615578231754653e-07,0.0010000000474974,0.0010000000474975,523777.0,34573.0,0.335,0.01200000000000001,0.177,0.0040000000000000036,0.329,0.008000000000000007,0.0
abf_fr_estimated|tt=estimated|g=0.1|eta=0.1|bi=0.4|fe=5,abf_fr_estimated,estimated,0.1,0.1,0.4,5,5,0.0123276446526955,0.0006434152479662999,0.0747540123438476,0.003730490500514605,16.573302744438667,1.2621724705273518,38.53736310357774,4.2398147139151305,0.0235959386984586,0.003869654997789202,0.0235993573130478,0.0038692373094609996,9.834171434401166e-06,6.658291416291221e-07,0.0010000000474974,0.0,460170.0,27207.0,0.342,0.007000000000000006,0.171,0.002999999999999975,0.325,0.019000000000000017,0.0
abf_fr_estimated|tt=estimated|g=0.1|eta=0.1|bi=0|fe=5,abf_fr_estimated,estimated,0.1,0.1,0.0,5,5,0.0124490580743742,0.00027958124121450073,0.0718760369829421,0.0066941030847574995,16.151852180048426,2.4222167793239553,37.64647049589939,1.4234072193044511,0.0234424797162597,0.003601291297744398,0.0234439980675037,0.003603944556632002,1.3850503382855096e-05,2.50502489507197e-07,0.0020000000949949,0.0,474021.0,10612.0,0.333,0.007000000000000006,0.155,0.01100000000000001,0.339,0.008999999999999952,0.0
abf_fr_oracle|tt=oracle|g=0.01|eta=0.075|bi=0.2|fe=5,abf_fr_oracle,oracle,0.01,0.075,0.2,5,5,0.0137455754324046,0.0033769032359752,0.0676269134261545,0.0038473863551698045,15.181394680509827,0.7737533965471304,41.16841096845992,1.898113398120941,0.0308815041422122,0.002510429348639199,0.0305076099688138,0.004902662269692295,1.2500000821091817e-06,3.125000262116374e-07,0.0010000000474974,0.0,517920.0,20034.0,0.347,0.013999999999999957,0.173,0.024999999999999994,0.329,0.03799999999999998,0.0
abf_fr_oracle|tt=oracle|g=0.01|eta=0.075|bi=0.4|fe=5,abf_fr_oracle,oracle,0.01,0.075,0.4,5,5,0.0130452109200252,0.0010451376085905007,0.0736435555170813,0.008484997232791808,16.524523974745108,0.17388838146738905,39.76079649806987,0.019890794634164877,0.0267629011161647,0.002195059163476603,0.0262485855098977,0.0028309883881041976,9.170854885572528e-07,1.662479159373714e-07,0.0010000000474974,0.0,487142.0,7121.0,0.332,0.012999999999999956,0.173,0.0030000000000000027,0.321,0.017000000000000015,0.0
abf_fr_oracle|tt=oracle|g=0.01|eta=0.075|bi=0|fe=5,abf_fr_oracle,oracle,0.01,0.075,0.0,5,5,0.0137302857657666,0.0016072036870761006,0.0740172651764484,0.007625914379470106,15.337057000034306,0.6746344947065364,40.66922871869783,2.700814161222894,0.0305619123979782,0.0024852910411870995,0.0286345580511538,0.0020976877165539004,1.8500001124266417e-06,1.500000053056285e-07,0.0010000000474974,0.0,502240.0,33364.0,0.352,0.008000000000000007,0.168,0.03,0.324,0.020000000000000018,0.0
abf_fr_oracle|tt=oracle|g=0.01|eta=0.15|bi=0.2|fe=5,abf_fr_oracle,oracle,0.01,0.15,0.2,5,5,0.0145503828916933,0.0034500621658843014,0.068340345378143,0.00985743364190711,16.11924975772413,0.7102473957328215,38.937649163819415,1.7482198703818312,0.0225209258434032,0.0024291680662333996,0.0186569462019578,0.0049155098723534,1.1875000780037226e-06,3.7531409589064426e-07,0.0010000000474974,0.0,488092.0,28149.0,0.328,0.01799999999999996,0.171,0.0069999999999999785,0.331,0.0040000000000000036,0.0
abf_fr_oracle|tt=oracle|g=0.01|eta=0.15|bi=0.4|fe=5,abf_fr_oracle,oracle,0.01,0.15,0.4,5,5,0.0128921208754343,0.002021657496058699,0.0679715854014133,0.0036778635033220958,15.717260871293876,0.5591599990783216,39.39511049135628,4.567727696754119,0.0220963277052361,0.0065487182064888,0.016516737824929,0.00492582617212,6.670854721354165e-07,8.291457713009253e-08,0.0010000000474974,0.0,517789.0,19998.0,0.327,0.03199999999999997,0.16,0.01100000000000001,0.323,0.008000000000000007,0.0
abf_fr_oracle|tt=oracle|g=0.01|eta=0.15|bi=0|fe=5,abf_fr_oracle,oracle,0.01,0.15,0.0,5,5,0.0132393517008933,0.0018740529866344002,0.0669548174987036,0.005074177685344711,15.650087797005629,1.0286413621254002,39.29721757282562,2.449472913174546,0.0221103082932789,0.004963458334340698,0.0223474392150071,0.005696326877561199,1.50025135553733e-06,1.9974874703621053e-07,0.0010000000474974,0.0,496178.0,1203.0,0.341,0.015000000000000013,0.153,0.02400000000000002,0.339,0.013000000000000012,0.0
