cell,seed,j,C,a,V,pi_star,occ0,f_ref
K3,8002,0,33115.0,5.758094411151144e-32,0.3985075956955805,0.00390625,0.03125,-20.001447663525564
K3,8002,1,42491.0,5.640582280311324e-32,0.24543906313089434,0.00390625,0.01953125,-16.736926222184675
K3,8002,2,48921.0,3.6156014672276936e-06,0.19231786721630642,0.00390625,0.04296875,-14.119694821265368
K3,8002,3,58827.0,7.272868562147565e-05,0.12558318082497283,0.00390625,0.03125,-12.112613681448535
K3,8002,4,75808.0,0.00017841234520502852,0.06599504212621561,0.00390625,0.04296875,-10.612314324874749
K3,8002,5,98418.0,0.0002490952182237675,0.03168747133902263,0.00390625,0.02734375,-9.37970088141536
K3,8002,6,121448.0,0.00035289069444323373,0.016507216822824144,0.00390625,0.05078125,-8.130169058873427
K3,8002,7,137530.0,0.0003948425611381609,0.010861165158631923,0.00390625,0.046875,-6.598728030372591
K3,8002,8,148758.0,0.0004941982548528808,0.009772223385321098,0.00390625,0.04296875,-4.620588418274956
K3,8002,9,157474.0,0.0005099707143646579,0.013009896739930372,0.00390625,0.05078125,-2.252863240698835
K3,8002,10,156122.0,0.0006023350264339747,0.014277091645669778,0.00390625,0.0390625,0.22605911217101549
K3,8002,11,131076.0,0.0005944796779032567,0.019282302426960735,0.00390625,0.05078125,2.355230571581429
K3,8002,12,84597.0,0.0006773010091865126,0.059303581822130524,0.00390625,0.05078125,3.6060840625782453
K3,8002,13,45087.0,0.0006483694517539563,3.081559448889604,0.13743464983085388,0.015625,3.275144141174126
K3,8002,14,41513.0,0.0007190962031104933,11.419147589547167,0.3624407739243695,0.00390625,0.6855115062732063
K3,8002,15,44931.0,0.0006716400359167596,0.18262001103462636,0.00390625,0.015625,-0.08397731392047976
K3,8002,16,46450.0,0.0007277206082059181,0.23035181068127758,0.00390625,0.00390625,0.27399170958044256
K3,8002,17,44913.0,0.0006642914303916642,6.234667423308631,0.23147703261615377,0.0,-0.3699228766684197
K3,8002,18,46323.0,0.0007031742244727865,3.514616106962375,0.15927254362862295,0.015625,-2.9743058338938515
K3,8002,19,64200.0,0.0006263236351786695,0.5224564293374221,0.00390625,0.02734375,-3.436226280277556
K3,8002,20,114353.0,0.0006454570519110974,0.1504324590547868,0.00390625,0.06640625,-2.215293491858746
