cell,method,metric,n_pairs,abf_med,method_med,delta_med,delta_lo,delta_hi,rel_med,rel_lo,rel_hi,win_rate
pentane_b1_s2.3_full_dispersed,fr_estimated,integrated_l2_F,16,7.438306955306553,7.446921196199401,0.018647170179637573,-0.0037829396477955285,0.04144997702579516,0.002394253166555021,-0.0005980896312073392,0.005631167973488762,0.25
pentane_b1_s2.3_full_dispersed,fr_oracle,integrated_l2_F,16,7.438306955306553,7.436278752413577,0.00452462485069649,-0.014001944969839092,0.024813089027612874,0.0006155008193353431,-0.001881270816104933,0.003283212826331404,0.4375
pentane_b1_s2.3_full_dispersed,fr_uniform,integrated_l2_F,16,7.438306955306553,7.442793454237853,0.019059285606557896,-0.005419823517396213,0.04075435409945668,0.002455515221522863,-0.0006690361389076306,0.00558530417951342,0.375
pentane_b1_s2.3_full_dispersed,opes,integrated_l2_F,16,7.438306955306553,8.646130458726367,1.0938178895720516,1.0015483368939126,1.226112541474545,0.15326666277194023,0.13406085445084762,0.1653937684149946,0.0
pentane_b1_s2.3_full_trans,fr_active,integrated_l2_F,16,9.236094137114598,9.508581467267383,0.2663577822406298,0.18857697907428095,0.3007547770414766,0.028868810719057444,0.020585638754650797,0.032635015922125706,0.0
pentane_b1_s2.3_full_trans,fr_estimated,integrated_l2_F,16,9.236094137114598,9.264991701455731,0.035304935548597705,0.014111733669383272,0.058547126078905345,0.0038752092122875995,0.0014882466207533803,0.00617942647931298,0.1875
pentane_b1_s2.3_full_trans,fr_oracle,integrated_l2_F,16,9.236094137114598,9.225911824423438,-0.005157283201562279,-0.015256264846945991,0.018386937832695276,-0.0005497475490073666,-0.0016771839234955765,0.0019862536882467785,0.5625
pentane_b1_s2.3_full_trans,fr_uniform,integrated_l2_F,16,9.236094137114598,9.26515624848522,0.0354871823750571,0.014321830358940793,0.058631279362283566,0.003895248112174469,0.001489369743013881,0.0062353233164481195,0.1875
pentane_b1_s2.3_full_trans,opes,integrated_l2_F,16,9.236094137114598,12.082038428919901,2.647746648280699,2.5647464804444873,2.9328036212547897,0.287491729721463,0.27437559502006864,0.31966051673807766,0.0
pentane_b2_s2.3_full_trans,fr_active,integrated_l2_F,16,7.659292515859388,7.731185237978373,0.07713720548769443,0.05898725639902497,0.08664491602816617,0.010223068439286435,0.007695787555959001,0.011327956632320049,0.0
pentane_b2_s2.3_full_trans,fr_estimated,integrated_l2_F,16,7.659292515859388,7.6721508565803305,0.014928945515243708,0.00596850825755778,0.021230212915948437,0.0019339585373687514,0.0007900105388517835,0.0027572541252334323,0.1875
pentane_b2_s2.3_full_trans,fr_oracle,integrated_l2_F,16,7.659292515859388,7.6418511971580205,-0.0073147800760309245,-0.015027032151932952,-0.0018011492976851913,-0.0009625929576516459,-0.0019197497248754252,-0.00022631162410219365,0.6875
pentane_b2_s2.3_full_trans,fr_uniform,integrated_l2_F,16,7.659292515859388,7.6751804743227705,0.013595394600039334,0.00676438283036157,0.02143981281257973,0.0017770656346303355,0.0008954772102315307,0.0028153087302256754,0.25
pentane_b2_s2.3_full_trans,opes,integrated_l2_F,16,7.659292515859388,9.757995083746827,2.043328057988445,2.002335772063589,2.23862841123271,0.26671831527355894,0.26138526770776244,0.2942414871818338,0.0
