system,cell,method,seed,stage,n_replicas,n_steps,dt,t_phys,l2_f,int_l2_f,n_cross,n_roundtrips,p_a,p_b,cv_coverage,low_support_fraction,support_min_over_median,f_range,spectral_gap_matrix,n_states_visited_frac,fpt_frac,sweep,orphan,cross_per_replica,log10_cross_per_replica,cross_rate_per_time,roundtrips_per_replica,roundtrip_rate_per_time,n_relax,log10_n_relax,min_state_occupancy
eb,om25_b8_g15,fr,13,stage1_seeds,256.0,40000.0,0.001,40.0,0.09615881579717618,5.946523470272824,nan,nan,0.4820567367399874,0.5179432632600126,1.0,0.026490066225165563,0.10123993159801867,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4820567367399874
eb,om25_b8_g15,fr,14,stage1_seeds,256.0,40000.0,0.001,40.0,0.10093390684597536,6.229416044539274,nan,nan,0.47501419240694204,0.524985807593058,1.0,0.019867549668874173,0.13670334634613227,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.47501419240694204
eb,om25_b8_g15,fr,15,stage1_seeds,256.0,40000.0,0.001,40.0,0.10076386573164321,6.253205341336141,nan,nan,0.47708371316411874,0.5229162868358812,1.0,0.026490066225165563,0.08294991383873683,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.47708371316411874
eb,om25_b8_g15,fr,16,stage1_seeds,256.0,40000.0,0.001,40.0,0.09294453054155472,5.888482443286234,nan,nan,0.5001688290912162,0.49983117090878376,1.0,0.013245033112582781,0.1498742032579125,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.49983117090878376
eb,om25_b8_g15,fr,17,stage1_seeds,256.0,40000.0,0.001,40.0,0.09918414512015739,6.241202583226488,nan,nan,0.48251684258428723,0.5174831574157127,1.0,0.013245033112582781,0.16360131853909285,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.48251684258428723
eb,om25_b8_g15,fr,18,stage1_seeds,256.0,40000.0,0.001,40.0,0.10211071922046537,6.570321923633651,nan,nan,0.4830459991678817,0.5169540008321183,1.0,0.033112582781456956,0.1205523140394894,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4830459991678817
eb,om25_b8_g15,fr,19,stage1_seeds,256.0,40000.0,0.001,40.0,0.1062419182021485,6.5690179838222615,nan,nan,0.4938485319911321,0.5061514680088679,1.0,0.013245033112582781,0.1805123271324816,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4938485319911321
eb,om25_b8_g15,fr,2,stage1_seeds,256.0,40000.0,0.001,40.0,0.11159230896198197,6.880344250513219,nan,nan,0.46625789878119067,0.5337421012188094,1.0,0.019867549668874173,0.13945229415993504,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.46625789878119067
eb,om25_b8_g15,fr,3,stage1_seeds,256.0,40000.0,0.001,40.0,0.10209345962188049,6.68768438424096,nan,nan,0.48313849211821114,0.5168615078817888,1.0,0.019867549668874173,0.19099117696321014,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.48313849211821114
eb,om25_b8_g15,fr,4,stage1_seeds,256.0,40000.0,0.001,40.0,0.09450100360664627,6.094077546912113,nan,nan,0.48832496246345686,0.5116750375365432,1.0,0.013245033112582781,0.17767333768789254,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.48832496246345686
eb,om25_b8_g15,fr,5,stage1_seeds,256.0,40000.0,0.001,40.0,0.09532848995852944,6.17513611362421,nan,nan,0.4937635846362804,0.5062364153637195,1.0,0.013245033112582781,0.15234653754263675,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4937635846362804
eb,om25_b8_g15,fr,6,stage1_seeds,256.0,40000.0,0.001,40.0,0.09512226116422634,6.036028790185638,nan,nan,0.50613676138588,0.49386323861411996,1.0,0.0,0.2630920840164434,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.49386323861411996
eb,om25_b8_g15,fr,7,stage1_seeds,256.0,40000.0,0.001,40.0,0.0967728824091007,6.059836709857915,nan,nan,0.4936272071028592,0.5063727928971408,1.0,0.033112582781456956,0.1314792227541367,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4936272071028592
eb,om25_b8_g15,fr,8,stage1_seeds,256.0,40000.0,0.001,40.0,0.08656397467977081,5.678399838279792,nan,nan,0.49599733929531503,0.5040026607046849,1.0,0.019867549668874173,0.1318030497672262,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.49599733929531503
eb,om25_b8_g15,fr,9,stage1_seeds,256.0,40000.0,0.001,40.0,0.0927025532345966,5.821273569955882,nan,nan,0.5027431495598623,0.4972568504401376,1.0,0.026490066225165563,0.1617952048548546,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4972568504401376
eb,om10_b8_g15,abf,0,stage2_omega,256.0,100000.0,0.0004,40.0,0.1953448409408198,9.63976754340499,nan,nan,0.46178468438396797,0.5382153156160321,1.0,0.06622516556291391,0.0184166391888878,3.9058731902425508,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.46178468438396797
eb,om10_b8_g15,abf,1,stage2_omega,256.0,100000.0,0.0004,40.0,0.21249743338659358,10.422121450061844,nan,nan,0.5030489953174039,0.4969510046825961,1.0,0.09271523178807947,0.03965310579078518,3.9058731902425508,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4969510046825961
eb,om10_b8_g15,abf,2,stage2_omega,256.0,100000.0,0.0004,40.0,0.21266269938910595,11.058595739519935,nan,nan,0.5287790796764444,0.47122092032355556,1.0,0.09271523178807947,0.016954941098455665,3.9058731902425508,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.47122092032355556
eb,om10_b8_g15,abf,3,stage2_omega,256.0,100000.0,0.0004,40.0,0.18732325382010245,9.093748058872336,nan,nan,0.5135845013177782,0.48641549868222184,1.0,0.06622516556291391,0.03212865261111695,3.9058731902425508,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.48641549868222184
eb,om10_b8_g15,abf,4,stage2_omega,256.0,100000.0,0.0004,40.0,0.17838072690124895,9.06733016722007,nan,nan,0.5152393081161314,0.4847606918838686,1.0,0.0728476821192053,0.01814321843541715,3.9058731902425508,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4847606918838686
eb,om10_b8_g15,abf,5,stage2_omega,256.0,100000.0,0.0004,40.0,0.2147471071176937,10.26114182156281,nan,nan,0.5042753979135529,0.4957246020864471,1.0,0.07947019867549669,0.02083603748437033,3.9058731902425508,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4957246020864471
eb,om10_b8_g15,abf,6,stage2_omega,256.0,100000.0,0.0004,40.0,0.20322517075220178,10.688654687045961,nan,nan,0.5264531404118573,0.4735468595881427,1.0,0.08609271523178808,0.027395184046507228,3.9058731902425508,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4735468595881427
eb,om10_b8_g15,abf,7,stage2_omega,256.0,100000.0,0.0004,40.0,0.20170398239202528,10.669270197368979,nan,nan,0.45564261066193723,0.5443573893380628,1.0,0.06622516556291391,0.05131868823857325,3.9058731902425508,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.45564261066193723
eb,om10_b8_g15,abf,8,stage2_omega,256.0,100000.0,0.0004,40.0,0.1887472479122062,9.427552287636653,nan,nan,0.4875525799898898,0.5124474200101102,1.0,0.0728476821192053,0.051483528019350466,3.9058731902425508,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4875525799898898
eb,om10_b8_g15,abf,9,stage2_omega,256.0,100000.0,0.0004,40.0,0.2252449525536568,11.942336097994772,nan,nan,0.5293539914122585,0.4706460085877415,1.0,0.07947019867549669,0.0102416211985343,3.9058731902425508,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4706460085877415
eb,om1_b8_g15,abf,0,stage2_omega,256.0,100000.0,0.0004,40.0,0.21737489440108493,11.50886649068995,nan,nan,0.5215071620810837,0.47849283791891634,1.0,0.09933774834437085,0.012874702910619191,3.90625,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.47849283791891634
eb,om1_b8_g15,abf,1,stage2_omega,256.0,100000.0,0.0004,40.0,0.1816131804414115,9.14185883007117,nan,nan,0.4292869683084694,0.5707130316915305,1.0,0.052980132450331126,0.07731224314941462,3.90625,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4292869683084694
eb,om1_b8_g15,abf,2,stage2_omega,256.0,100000.0,0.0004,40.0,0.20810419132093294,11.177089468143528,nan,nan,0.5638435859177727,0.4361564140822272,1.0,0.08609271523178808,0.023457392329273397,3.90625,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4361564140822272
eb,om1_b8_g15,abf,3,stage2_omega,256.0,100000.0,0.0004,40.0,0.22067437037615156,11.543922851408949,nan,nan,0.5332083752711981,0.4667916247288019,1.0,0.08609271523178808,0.025684096499545905,3.90625,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4667916247288019
eb,om1_b8_g15,abf,4,stage2_omega,256.0,100000.0,0.0004,40.0,0.22873021091292547,12.150469648518927,nan,nan,0.5752804350319903,0.42471956496800967,1.0,0.09933774834437085,0.008619384441266243,3.90625,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.42471956496800967
