stage,method,physics_tag,beta,h,M,seed,total_replacement_events,n_fr_applications,fr_event_fraction,max_fr_event_fraction,deaths_per_fr_application,clones_per_fr_application
production,fr_uniform,b2_h4_w2_n14_a1.5,2.0,4.0,196,0,1527,20001,7.45568190340483e-05,0.000162109375,0.07634618269086546,0.07634618269086546
production,fr_uniform,b2_h4_w2_n14_a1.5,2.0,4.0,196,1,1570,20001,7.665632343382831e-05,0.000154296875,0.07849607519624019,0.07849607519624019
production,fr_uniform,b2_h4_w2_n14_a1.5,2.0,4.0,196,2,1482,20001,7.235966326683665e-05,0.000125,0.07409629518524073,0.07409629518524073
production,fr_uniform,b2_h4_w2_n14_a1.5,2.0,4.0,196,3,1591,20001,7.768166279186041e-05,0.000166015625,0.07954602269886506,0.07954602269886506
production,fr_uniform,b2_h4_w2_n7_a1.5,2.0,4.0,49,0,939,20001,4.5847317009149545e-05,8.0078125e-05,0.046947652617369134,0.046947652617369134
production,fr_uniform,b2_h4_w2_n7_a1.5,2.0,4.0,49,1,942,20001,4.5993794060296986e-05,0.000126953125,0.047097645117744114,0.047097645117744114
production,fr_uniform,b2_h4_w2_n7_a1.5,2.0,4.0,49,2,980,20001,4.784917004149793e-05,8.984375e-05,0.04899755012249388,0.04899755012249388
production,fr_uniform,b2_h4_w2_n7_a1.5,2.0,4.0,49,3,938,20001,4.5798491325433725e-05,8.203125e-05,0.046897655117244134,0.046897655117244134
production,fr_uniform,b2_h6_w2_n10_a1.5,2.0,6.0,100,0,1229,20001,6.000676528673566e-05,0.0001484375,0.06144692765361732,0.06144692765361732
production,fr_uniform,b2_h6_w2_n10_a1.5,2.0,6.0,100,1,1123,20001,5.4831242812859355e-05,0.000146484375,0.05614719264036798,0.05614719264036798
production,fr_uniform,b2_h6_w2_n10_a1.5,2.0,6.0,100,2,1182,20001,5.771195815209239e-05,0.000138671875,0.05909704514774261,0.05909704514774261
production,fr_uniform,b2_h6_w2_n10_a1.5,2.0,6.0,100,3,1218,20001,5.946968276586171e-05,0.000173828125,0.06089695515224239,0.06089695515224239
production,fr_uniform,b4_h1_w2_n10_a1.5,4.0,1.0,100,0,1447,20001,7.065076433678317e-05,0.000130859375,0.07234638268086596,0.07234638268086596
production,fr_uniform,b4_h1_w2_n10_a1.5,4.0,1.0,100,1,1430,20001,6.982072771361432e-05,0.0001328125,0.07149642517874107,0.07149642517874107
production,fr_uniform,b4_h1_w2_n10_a1.5,4.0,1.0,100,2,1455,20001,7.104136980650967e-05,0.000126953125,0.0727463626818659,0.0727463626818659
production,fr_uniform,b4_h1_w2_n10_a1.5,4.0,1.0,100,3,1486,20001,7.255496600169992e-05,0.0009765625,0.07429628518574072,0.07429628518574072
production,fr_uniform,b4_h2_w2_n10_a1.5,4.0,2.0,100,0,1552,20001,7.577746112694365e-05,0.000169921875,0.0775961201939903,0.0775961201939903
production,fr_uniform,b4_h2_w2_n10_a1.5,4.0,2.0,100,1,1557,20001,7.602158954552272e-05,0.000169921875,0.07784610769461527,0.07784610769461527
production,fr_uniform,b4_h2_w2_n10_a1.5,4.0,2.0,100,2,1381,20001,6.742826921153942e-05,0.0009765625,0.06904654767261637,0.06904654767261637
production,fr_uniform,b4_h2_w2_n10_a1.5,4.0,2.0,100,3,1508,20001,7.362913104344783e-05,0.0009765625,0.07539623018849058,0.07539623018849058
production,fr_uniform,b4_h4_w2_n10_a1.5,4.0,4.0,100,0,1988,20001,9.706545922703865e-05,0.000224609375,0.09939503024848757,0.09939503024848757
production,fr_uniform,b4_h4_w2_n10_a1.5,4.0,4.0,100,1,1900,20001,9.2768799060047e-05,0.00019921875,0.09499525023748813,0.09499525023748813
production,fr_uniform,b4_h4_w2_n10_a1.5,4.0,4.0,100,2,2017,20001,9.848140405479726e-05,0.00020703125,0.1008449577521124,0.1008449577521124
production,fr_uniform,b4_h4_w2_n10_a1.5,4.0,4.0,100,3,1854,20001,9.052281760911954e-05,0.0009765625,0.09269536523173841,0.09269536523173841
production,fr_uniform,b4_h6_w2_n10_a1.5,4.0,6.0,100,0,2066,20001,0.00010087386255687215,0.000224609375,0.10329483525823709,0.10329483525823709
production,fr_uniform,b4_h6_w2_n10_a1.5,4.0,6.0,100,1,2052,20001,0.00010019030298485075,0.000185546875,0.10259487025648717,0.10259487025648717
production,fr_uniform,b4_h6_w2_n10_a1.5,4.0,6.0,100,2,1930,20001,9.423356957152142e-05,0.000185546875,0.09649517524123793,0.09649517524123793
production,fr_uniform,b4_h6_w2_n10_a1.5,4.0,6.0,100,3,1918,20001,9.364766136693166e-05,0.0009765625,0.09589520523973802,0.09589520523973802
