stage,physics_tag,method,beta,h,M,z,F,Fp,p,q,neff,ref_F,ref_Fp,ref_p
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.32830187678337097,-0.37298155575990677,3.8051918148994446,0.6581918895244598,0.714285671710968,71127186.0,-0.3658214211463928,3.8059678077697754,0.07292378082217069
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.3371069133281708,-0.33967361599206924,3.7604569792747498,0.6579768806695938,0.714285671710968,71439608.0,-0.3329432010650635,3.761594295501709,0.06828283089850612
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.3459119498729706,-0.30686966329813004,3.690721571445465,0.6577935367822647,0.714285671710968,71718750.0,-0.3005121946334839,3.6839985847473145,0.06399444894386126
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.3547169864177704,-0.27478569746017456,3.5969164967536926,0.6576717495918274,0.714285671710968,71971400.0,-0.268081396818161,3.606403112411499,0.0599754162273074
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.3635220229625702,-0.24362926557660103,3.4800420999526978,0.6576568484306335,0.714285671710968,72205420.0,-0.23695890605449677,3.4974217414855957,0.056356059455429895
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.3723270297050476,-0.21359933167696,3.341062605381012,0.6578065454959869,0.714285671710968,72427382.0,-0.20779938995838165,3.3413658142089844,0.05316342899174823
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.3811320662498474,-0.18488621339201927,3.180913031101227,0.6581857055425644,0.714285671710968,72646028.0,-0.17863954603672028,3.1853079795837402,0.05015163154366643
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.3899371027946472,-0.15767154842615128,3.0007006525993347,0.658859372138977,0.714285671710968,72864646.0,-0.15066124498844147,3.0135316848754883,0.04742238834086562
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.398742139339447,-0.13212691992521286,2.8015753030776978,0.6598847508430481,0.714285671710968,73085516.0,-0.12687131762504578,2.786022663116455,0.045218875097716084
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.4075471758842468,-0.10841409489512444,2.584620773792267,0.6613030731678009,0.714285671710968,73308160.0,-0.10308150202035904,2.5585148334503174,0.0431177592204347
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.41635221242904663,-0.08668522909283638,2.350933313369751,0.6631320714950562,0.714285671710968,73528582.0,-0.07957425713539124,2.329017162322998,0.04113751460711189
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.42515721917152405,-0.06708259880542755,2.1016762256622314,0.6653602570295334,0.714285671710968,73741530.0,-0.06285040825605392,2.051807165145874,0.03978431629115821
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.43396225571632385,-0.04973766207695007,1.8381004333496094,0.6679437458515167,0.714285671710968,73942900.0,-0.04612665995955467,1.7745988368988037,0.03847563850842612
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.44276729226112366,-0.034770164638757706,1.561657726764679,0.6708057969808578,0.714285671710968,74128326.0,-0.029402807354927063,1.4973887205123901,0.037210001020675516
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.45157232880592346,-0.022287026047706604,1.2737960815429688,0.6738395839929581,0.714285671710968,74297668.0,-0.019672898575663567,1.1974248886108398,0.036492901135338617
