stage,method,physics_tag,beta,h,M,seed,n_steps,t,l2_f,l2_fp,repl_cumulative,frac_compact,frac_transition,frac_stretched,ancestor_ess,max_ancestor_frac
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,1,2000,0.4,2.7077787640194217,8.250123801859367,0.0,0.8645833333333334,0.125,0.010416666666666666,96.0,0.010416666666666666
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,1,2000,0.8,2.8297210765726772,10.665341815995182,0.0,0.5833333333333334,0.3645833333333333,0.052083333333333336,96.0,0.010416666666666666
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,1,2000,1.2,2.659850696915871,8.936354522890113,0.0,0.4375,0.3854166666666667,0.17708333333333334,96.0,0.010416666666666666
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,1,2000,1.6,2.0574387289799603,6.2532044202604755,0.0,0.3854166666666667,0.28125,0.3333333333333333,96.0,0.010416666666666666
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,1,2000,2.0,1.685016890027806,4.8474203849435575,0.0,0.3125,0.2916666666666667,0.3958333333333333,96.0,0.010416666666666666
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,1,2000,2.4,1.5103414314694898,4.305687279009404,0.0,0.2708333333333333,0.3229166666666667,0.40625,96.0,0.010416666666666666
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,1,2000,2.8000000000000003,1.3213038624027256,3.7795215312191415,1.0,0.28125,0.21875,0.5,94.04081632653062,0.020833333333333332
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,1,2000,3.2,1.1936150865569646,3.5007179741284977,4.0,0.21875,0.3541666666666667,0.4270833333333333,86.94339622641509,0.03125
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,1,2000,3.6,1.0485302734785582,3.1243079131869416,5.0,0.20833333333333334,0.28125,0.5104166666666666,85.33333333333333,0.03125
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,1,2000,4.0,0.9757722605376966,2.9044328627140907,6.0,0.19791666666666666,0.23958333333333334,0.5625,83.78181818181818,0.03125
