seed,init,region,k,pilot_population,first_touch_ps,T_hit_ps,T_hit_frac,T_est_ps,T_est_frac,occ_over_target_final,occ_over_target_secondhalf,mean_occupancy,mean_target,max_rel_deficit_after_hit,max_rel_deficit_second_half,frac_below_half_target,integrated_deficit,entries_corridor_aware,entries_naive,first_entry_ps,final_pmf_err_kT,integrated_pmf_err_kT,marginal_tv
8,stratified,B3,3,0.09004080251099764,4.691,6.0,0.02,12.0,0.04,0.9050645193252926,1.0653747102755278,0.14899953898176685,0.14488659001063683,0.8980024641064555,0.16434455281669072,0.019867549668874173,4.564996774419008,1551,0,6.0,0.24618941386919435,0.5385171133525704,0.06842245952404027
8,stratified,B4,4,0.07008868272110982,0.0,0.0,0.0,26.0,0.08666666666666667,1.2133807268307508,1.1317663132723021,0.1049612301319507,0.0933360637760282,0.860742769878757,0.14961577078276442,0.013245033112582781,1.404968781867063,1300,71462,0.0,0.24618941386919435,0.5385171133525704,0.06842245952404027
8,stratified,B5,5,0.037994473226984134,0.0,0.0,0.0,34.0,0.11333333333333333,0.8661828030605934,0.8885362635124412,0.08546605751161934,0.0951615422586762,0.9702719513324963,0.2957915017265853,0.019867549668874173,4.447471720160634,832,68564,2.0,0.24618941386919435,0.5385171133525704,0.06842245952404027
8,stratified,B6,6,0.005483067625717974,4.787,6.0,0.02,14.0,0.04666666666666667,0.6612972548884516,0.835010789358968,0.08417135446204879,0.09959169171255586,0.6280355875564304,0.39178283760472227,0.013245033112582781,5.553416034115176,626,0,6.0,0.24618941386919435,0.5385171133525704,0.06842245952404027
8,stratified,B7,7,0.001422569912857225,5.353,6.0,0.02,8.0,0.02666666666666667,1.5869416060399577,1.4432825440725345,0.08243322713491193,0.06129332722442553,0.9220899555468366,0.037740532328969,0.006622516556291391,1.235515927183928,565,0,6.0,0.24618941386919435,0.5385171133525704,0.06842245952404027
9,stratified,B0,0,0.4201089937704364,0.0,0.0,0.0,24.0,0.08,0.8882167530014131,0.9336752506243413,0.25525847477826746,0.2734702399882764,0.9257716949466825,0.19789150564257063,0.013245033112582781,8.874430895616477,3446,35130,0.0,0.23682524008370687,0.44900570589012395,0.06542473930204978
9,stratified,B1,1,0.18978722028284603,0.0,0.0,0.0,20.0,0.06666666666666667,0.7802515235078167,0.9197951534556403,0.11065699224073187,0.1072642305348734,0.36433871492557734,0.3122186938129436,0.0,2.885340037755614,2187,71973,0.0,0.23682524008370687,0.44900570589012395,0.06542473930204978
9,stratified,B2,2,0.18404660798157213,0.0,0.0,0.0,26.0,0.08666666666666667,1.23422403841917,1.0642748118347352,0.15578381706114972,0.14630560664860737,0.9818046505697993,0.1403986394838229,0.013245033112582781,2.5219655953339486,2056,102680,0.0,0.23682524008370687,0.44900570589012395,0.06542473930204978
9,stratified,B3,3,0.09004080251099764,4.6530000000000005,6.0,0.02,10.0,0.03333333333333333,1.122573623461155,1.0954018600023652,0.14188142487053823,0.14139810711112757,0.9288050644546575,0.16025954603176537,0.013245033112582781,5.909231116840104,1582,0,6.0,0.23682524008370687,0.44900570589012395,0.06542473930204978
9,stratified,B4,4,0.07008868272110982,0.0,0.0,0.0,28.0,0.09333333333333334,0.9961492512947373,1.14879648161011,0.1098335820942998,0.0926005772516928,0.29180884289602443,0.15736252889388522,0.0,0.7362531477772818,1679,77281,0.0,0.23682524008370687,0.44900570589012395,0.06542473930204978
