x,F_ref,Fprime_ref,p_ref
0.375,-3.0805622131554555,-1.816244025730612,0.0010151322806729102
0.3899999999999997,-3.1099045333728688,-2.094065065865362,0.0011415513956764686
0.4049999999999998,-3.14330459916862,-2.356037909562575,0.0013047200201896764
0.41999999999999993,-3.1804741809459527,-2.5957905845420925,0.0015138662378547931
0.43500000000000005,-3.2210463684208914,-2.8092287449045146,0.0017806091962752338
0.44999999999999973,-3.264609767662603,-2.994473458527471,0.002119561330752547
0.46499999999999986,-3.310739160315765,-3.15147923243893,0.0025490652374822037
0.48,-3.359019116337981,-3.281504809500739,0.003092087850512346
0.49499999999999966,-3.4090595225879454,-3.386584749542047,0.0037772950850731082
0.5099999999999998,-3.460503794122854,-3.4690921266532064,0.004640328929285432
0.5249999999999999,-3.513031447986223,-3.5314258597410353,0.005725305263254499
0.54,-3.5663569041883516,-3.5758173224640744,0.007086543428295337
0.5549999999999997,-3.6202261339564865,-3.6042319511474186,0.008790526548155476
0.5699999999999998,-3.674412364123235,-3.6183371374555935,0.010918073481659983
0.585,-3.728711635126106,-3.6195110847074843,0.013566677708450431
0.5999999999999996,-3.782938675604721,-3.6088735251348436,0.016852934224409408
0.6149999999999998,-3.83692331770896,-3.5873254129904915,0.020914931882216
0.6299999999999999,-3.890507523451781,-3.5555897366790985,0.025914435560131427
0.645,-3.9435430032862318,-3.514249188872827,0.03203862128794575
0.6599999999999997,-3.9958893631483754,-3.463778780785146,0.03950106089943247
0.6749999999999998,-4.047412699045539,-3.404572896109135,0.048541585975760214
0.69,-4.0979845571023965,-3.336967048324106,0.05942460139802984
0.7050000000000001,-4.1474811840306,-3.2612549659894015,0.07243537704653645
0.7199999999999998,-4.1957830034757,-3.177701750197128,0.08787383486768208
0.7349999999999999,-4.242774264879941,-3.0865538360854248,0.10604538222492133
0.75,-4.288342821958021,-2.988046414386529,0.1272484360521173
0.7649999999999997,-4.33238000698842,-2.8824088694115133,0.15175844894383
0.7799999999999998,-4.37478057470249,-2.7698686885510955,0.179808496458944
0.7949999999999999,-4.415442695672438,-2.650654206081028,0.2115668152313329
0.81,-4.45426798393135,-2.524996465100951,0.24711208346003977
0.8249999999999997,-4.491161547311875,-2.3931304165499876,0.28640768459525756
0.8399999999999999,-4.52603205187031,-2.2552956223941836,0.3292766518986184
0.855,-4.5587917939518805,-2.1117365894893485,0.375379401924714
0.8699999999999997,-4.589356775105518,-1.9627028293296218,0.42419666387434674
0.8849999999999998,-4.617646776297493,-1.8084487150525714,0.47502013012935007
0.8999999999999999,-4.6435854288024725,-1.6492331890774317,0.526953227576698
0.915,-4.6671002798452,-1.4853193612687958,0.5789239932752821
0.9299999999999997,-4.688122851585255,-1.3169740274706423,0.6297113145592488
0.9449999999999998,-4.706588692426387,-1.1444671308006893,0.6779847851263004
0.96,-4.7224374199242565,-0.9680711825819122,0.7223572025068652
0.9749999999999996,-4.73561275478756,-0.7880606557192057,0.7614474004285456
0.9899999999999998,-4.746062545636007,-0.6047113603305002,0.7939498195655942
1.005,-4.753738784308272,-0.41829980923186694,0.818706138649586
1.0199999999999996,-4.758597611614301,-0.2291025792463735,0.8347735776796226
1.0350000000000001,-4.7605993135063125,-0.037395673102275095,0.8414842788742433
1.0499999999999998,-4.759708307707367,0.1565461142070764,0.8384905474185538
1.0649999999999995,-4.755893120889174,0.3524498213958227,0.8257916984981895
1.08,-4.749126356534983,0.5500449364855876,0.8037397343732238
1.0949999999999998,-4.739384653660997,0.749063999709399,0.7730229145509648
1.1099999999999994,-4.726648636602281,0.9492431916907464,0.7346282754376888
1.125,-4.710902856097781,1.1503229051009416,0.6897860669082941
1.1399999999999997,-4.692135721934547,1.3520482981859718,0.6399006723811357
1.1550000000000002,-4.670339427434205,1.5541698287101153,0.5864736777725612
1.17,-4.645509866085474,1.7564437669969313,0.5310252338609801
1.1849999999999996,-4.617646540645399,1.9586326868674133,0.4750196823716088
1.2000000000000002,-4.586752465049192,2.1605059333823364,0.41980064228467456
1.2149999999999999,-4.552834059484153,2.3618400663973467,0.36653950854835937
1.2299999999999995,-4.515901038997325,2.5624192790359857,0.3161997813099294
1.245,-4.475966296019232,2.762035790279462,0.269518022308579
1.2599999999999998,-4.43304577719739,2.960490210964793,0.2270007192448592
1.2749999999999995,-4.3871583549431765,3.157591882574702,0.18893508622538235
1.29,-4.338325694104267,3.3531591882937763,0.1554109429772685
1.3049999999999997,-4.286572114182007,3.547019835897142,0.12635034115306737
1.3200000000000003,-4.231924447518878,3.7390111121294187,0.10154152897266884
1.335,-4.174411893885775,3.928980108322678,0.08067410570414402
1.3499999999999996,-4.114065871901717,4.1167839170940494,0.06337272505970525
1.3650000000000002,-4.0509198677205385,4.302289800053877,0.04922735909196425
1.38,-3.985009281419278,4.485375326545999,0.03781883287817946
1.3949999999999996,-3.916371271522067,4.665928483531088,0.028739002239352218
1.4100000000000001,-3.845044598091037,4.84384775681197,0.021605512047735725
1.4249999999999998,-3.771069464812041,5.019042183886863,0.016071506740240913
1.4399999999999995,-3.694487360498079,5.191431378801616,0.011830956389679502
1.455,-3.6153409004271806,5.360945529454734,0.008620418892177488
1.4699999999999998,-3.5336736679240417,5.527525367890094,0.006218102207511171
1.4849999999999994,-3.4495300565860214,5.691122114190623,0.004441047639752948
1.5,-3.3629551135445253,5.851697394661392,0.003141154889003835
1.5149999999999997,-3.2739943841417443,6.009223135063717,0.0022006386500926767
1.5300000000000002,-3.182693758390805,6.163681429731436,0.0015273666530330613
1.545,-3.0890993195745677,6.315064387466586,0.00105039612556284
1.5599999999999996,-2.993257195324093,6.463373955175515,0.0007159097685527512
1.5750000000000002,-2.895213411503228,6.608621720265638,0.000483658462755813
1.5899999999999999,-2.7950137492098452,6.75082869287982,0.0003239471395639104
1.6049999999999995,-2.6927036051876945,6.890025069098285,0.00021515092893680503
1.62,-2.5883278559256824,7.026249976287256,0.00014171766161859742
1.6349999999999998,-2.4819307257031973,7.159551201819903,9.259621434021384e-05
1.6499999999999995,-2.3735556588213624,7.289984906437802,6.002421063602247e-05
1.665,-2.263245196240976,7.417615323560276,3.860980041910448e-05
1.6799999999999997,-2.15104085682783,7.542514445884828,2.464782801093456e-05
1.6949999999999994,-2.0369830233856936,7.664761700654311,1.56185209385005e-05
1.71,-1.921110833636604,7.784443614994565,9.825378593425766e-06
1.7249999999999996,-1.8034620762866354,7.901653472751019,6.137230988066192e-06
1.7400000000000002,-1.6840730922937772,8.016490964272593,3.806909576917749e-06
1.755,-1.5629786814329125,8.12906183060591,2.345362752612172e-06
1.7699999999999996,-1.440212014230499,8.239477503572152,1.435299320350182e-06
1.7850000000000001,-1.315804549319841,8.347854743200328,8.72618823686345e-07
1.7999999999999998,-1.1897859562455042,8.454315273984987,5.271180146100047e-07
1.8149999999999995,-1.0621840437235233,8.558985421419884,3.164030292696281e-07
1.83,-0.9330246933426916,8.661995750231506,1.887416990278076e-07
1.8449999999999998,-0.8023317986709166,8.763480705694864,1.1190024780242609e-07
1.8599999999999994,-0.670127209710332,8.863578259356718,6.5942917008013e-08
1.875,-0.5364306826257115,8.96242956041571,3.8629002932211376e-08
1.8899999999999997,-0.4012598346524723,9.06017859391317,2.2495605381155285e-08
1.9050000000000002,-0.26463010407410426,9.156971846770096,1.302409432232308e-08
1.92,-0.12655471514463534,9.252957982563489,7.49697417429095e-09
1.9349999999999996,0.012955352180866964,9.348287525768319,4.290740060800545e-09
1.9500000000000002,0.15389138785380507,9.443112555999464,2.44175021577742e-09
1.9649999999999999,0.2962469728303214,9.53758641257224,1.381669766978466e-09
1.9799999999999995,0.4400179958161141,9.631863409463996,7.774069285541215e-10
1.995,0.5852026658126999,9.726098560505385,4.349474637741211e-10
2.01,0.7318015206157196,9.820447314366666,2.4197389093789843e-10
2.0249999999999995,0.8798174314073584,9.91506529863777,1.338562132627042e-10
2.04,1.0292556035722502,10.010108072041819,7.362712469001329e-11
2.0549999999999997,1.1801235738502165,10.10573088358191,4.026737624725936e-11
2.0699999999999994,1.3324312039196025,10.202088437212456,2.1896156046691707e-11
2.085,1.4861906704822914,10.299334660463089,1.183750915833911e-11
2.0999999999999996,1.6414164518972758,10.397622475338537,6.362173768930716e-12
2.115,1.7981253113841997,10.497103569784784,3.3991815041789146e-12
2.13,1.9563362767925454,10.597928168060283,1.805235053663213e-12
2.1449999999999996,2.116070616908689,10.700244798490218,9.528988175528681e-13
2.16,2.2773518142513014,10.804200057314466,4.998879313950143e-13
2.175,2.440205534288914,10.909938367666934,2.6059541119976755e-13
2.1899999999999995,2.60465959100204,11.017601733138614,1.3498353784132085e-13
2.205,2.770743908707341,11.127329485868007,6.946448107509938e-14
2.2199999999999998,2.93849048006484,11.239258029653957,3.551053002197457e-14
2.2349999999999994,3.1079333202009813,11.353520579175537,1.803037638154473e-14
2.25,3.2791084169008746,11.470246897004852,9.091660142856318e-15
2.2649999999999997,3.452053676853013,11.58956303068409,4.552044559103574e-15
2.2799999999999994,3.6268088679679815,11.711591052676926,2.2626930552138408e-15
2.295,3.8034155578380986,11.836448806467226,1.116422036906872e-15
2.3099999999999996,3.981917048457187,11.964249662439302,5.466880122837336e-16
2.325,4.162358307376106,12.09510228741024,2.656323586831358e-16
2.34,4.344785895528283,12.229110431780121,1.2804770502118732e-16
2.3549999999999995,4.52924789201935,12.366372738211684,6.122495721362399e-17
2.37,4.715793816231655,12.506982575544292,2.9031202712090036e-17
2.385,4.904474547648008,12.65102790129612,1.3648754628822794e-17
2.3999999999999995,5.095342243845735,12.798591155626283,6.3609484697315465e-18
2.415,5.2884502571506875,12.94974918903585,2.9380480828865387e-18
2.4299999999999997,5.483853050470255,13.104573225410245,1.3446506912235076e-18
2.4449999999999994,5.681606112843106,13.26312886127369,6.096452921060974e-19
2.46,5.881765875250405,13.425476101370775,2.737562878159427e-19
2.4749999999999996,6.084389627229725,13.591669429941746,1.2172242433495804e-19
2.49,6.289535434817906,13.76175791634625,5.3579150638950347e-20
2.505,6.497262060323609,13.93578535303854,2.334198125112022e-20
2.5199999999999996,6.707628884396619,14.113790423330109,1.0062203872308349e-20
