phi,gamma,method,seed,final_l2_f,final_l2_fp,int_l2_f,final_ess,repl_fraction,score_std
0.9,5.0,abf,18,0.028862037681862268,0.1366075091819639,2.958757733387484,512.0,0.0,0.0
0.9,5.0,abf,19,0.0279974184712146,0.1349409662107601,2.742856834418468,512.0,0.0,0.0
0.9,5.0,abf,2,0.03278121760487963,0.13704383313639504,3.0991615219855575,512.0,0.0,0.0
0.9,5.0,abf,3,0.02744795524897502,0.13805241005744595,2.6483150199142624,512.0,0.0,0.0
0.9,5.0,abf,4,0.024879192244573616,0.13686659545184754,2.4739013696870726,512.0,0.0,0.0
0.9,5.0,abf,5,0.02618369487294801,0.13737682379165253,2.5565919474233243,512.0,0.0,0.0
0.9,5.0,abf,6,0.031150006964521262,0.13685302224768883,2.833250950121008,512.0,0.0,0.0
0.9,5.0,abf,7,0.028856383176146416,0.13924078436026013,2.680307649592092,512.0,0.0,0.0
0.9,5.0,abf,8,0.032152503547202615,0.13378728254318717,3.2247143719044375,512.0,0.0,0.0
0.9,5.0,abf,9,0.027921409212339803,0.13467619199264322,2.6186978964939582,512.0,0.0,0.0
0.75,15.0,fr_estimated,0,0.032066452266105425,0.09714473323189647,2.216926037754141,117.0,0.005559814453125,0.103201847639651
0.75,15.0,fr_estimated,1,0.025221650527400195,0.08465522696626146,1.9941088640054003,121.0,0.00560400390625,0.10420832602792532
0.75,15.0,fr_estimated,10,0.028611524105297714,0.08256650865536758,2.229251360194546,115.0,0.005661376953125,0.1046442012981383
0.75,15.0,fr_estimated,11,0.019485665216541794,0.08346255849326407,1.3543814142838544,125.0,0.005599609375,0.10537985010707314
0.75,15.0,fr_estimated,12,0.02350188427252232,0.08561603610603773,1.7440922027753094,106.0,0.005565673828125,0.10400646720262267
0.75,15.0,fr_estimated,13,0.03463138865743573,0.08560705809706923,2.617725101397638,116.0,0.00558154296875,0.1037447928636026
0.75,15.0,fr_estimated,14,0.02194975789050496,0.07876084649955133,1.7922488911080885,114.0,0.00567138671875,0.10457759951962861
0.75,15.0,fr_estimated,15,0.028508651901584758,0.092847233339337,1.9739820995584352,102.0,0.00564306640625,0.10421613869872955
0.75,15.0,fr_estimated,16,0.026557352834482163,0.08445932900040679,1.7503626554453122,102.0,0.005687255859375,0.10332934913140289
0.75,15.0,fr_estimated,17,0.0235242704394183,0.08048983441352382,1.9142761221847935,119.0,0.00553271484375,0.10448958022648551
0.75,15.0,fr_estimated,18,0.028056068966442978,0.09246700838044146,1.9708409362788917,115.0,0.005619384765625,0.10420169170576742
0.75,15.0,fr_estimated,19,0.024961658894412007,0.09665771294608756,2.0245618994657733,125.0,0.005560791015625,0.10341154968605554
0.75,15.0,fr_estimated,2,0.023840368480737027,0.08879304164227363,1.8447931666234356,101.0,0.0056015625,0.10408867714295786
0.75,15.0,fr_estimated,3,0.022817713858718263,0.0754029218850127,2.163535997283155,120.0,0.00566064453125,0.10374829196921152
0.75,15.0,fr_estimated,4,0.02226880994332157,0.08684537596854543,1.5561080507851377,115.0,0.00558544921875,0.1037508100622197
0.75,15.0,fr_estimated,5,0.023073065350496233,0.08944041240030269,1.6963507445247288,114.0,0.005671630859375,0.10471025923389773
0.75,15.0,fr_estimated,6,0.02662091071565364,0.08476966796692084,1.8685590872770805,117.0,0.005613525390625,0.10340093827956537
0.75,15.0,fr_estimated,7,0.017673687717211006,0.07520846399410201,1.6388939384218517,115.0,0.005632080078125,0.1040870251078416
0.75,15.0,fr_estimated,8,0.03287336155451541,0.09437392221560761,2.5020913546556556,118.0,0.005635009765625,0.1035657360205673
0.75,15.0,fr_estimated,9,0.02774490909414107,0.0937701121279588,2.07559578268665,116.0,0.00560498046875,0.10405078585176075
0.75,1.0,fr_estimated,0,0.021501632678091544,0.0745074521048468,2.0984255655584425,386.0,0.000550537109375,0.15489614709687716
0.75,1.0,fr_estimated,1,0.02337461788545821,0.0819978203108359,2.053876553414005,385.0,0.000563232421875,0.15666895301642314
0.75,1.0,fr_estimated,10,0.023022482499452043,0.08072173506344522,2.3139784504999694,372.0,0.00055126953125,0.152029877672185
0.75,1.0,fr_estimated,11,0.02606236963910166,0.07537070911275578,2.5793536886101145,374.0,0.000577880859375,0.15415073320910547
0.75,1.0,fr_estimated,12,0.019417438300531754,0.0716353132523006,2.0225564293113782,372.0,0.000579833984375,0.15683500730490954
0.75,1.0,fr_estimated,13,0.02883384157234507,0.08068963652326513,2.4620883983481137,358.0,0.00055078125,0.1518559813536669
0.75,1.0,fr_estimated,14,0.030669461966089714,0.08070741876786225,2.5361988372136426,383.0,0.00056201171875,0.1545968046817732
0.75,1.0,fr_estimated,15,0.02513117226884478,0.07729786541363554,2.5082892462266333,367.0,0.000576904296875,0.15502995373135536
0.75,1.0,fr_estimated,16,0.019143290481066902,0.0682878851356354,2.294215036666473,349.0,0.000543701171875,0.1519764505538385
0.75,1.0,fr_estimated,17,0.02364626845138699,0.07992724686901347,2.198945560959638,373.0,0.00055859375,0.156863260666572
0.75,1.0,fr_estimated,18,0.027942691741657904,0.08068193600470423,2.5195864728381707,349.0,0.0005361328125,0.15327232911010916
0.75,1.0,fr_estimated,19,0.028184311539787076,0.07845478814828831,2.3587237616190344,359.0,0.000563232421875,0.15666358745756703
0.75,1.0,fr_estimated,2,0.01971018916051306,0.07327048598253433,2.1161291139419007,364.0,0.000551025390625,0.15986164589839158
